# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
22,1482,3.167297,5.045752,2.437162
22,1458,1.297687,2.243857,1.459272
22,1458,0.762133,1.233887,1.121940
22,1458,0.529499,0.680971,0.808293
23,1464,0.706849,1.247833,1.201774
24,1489,2.024822,1.657270,1.388169
23,1448,0.948402,1.085692,1.121709
25,1563,0.626015,1.048966,1.300038
25,1548,0.737826,2.276081,2.044602
25,1548,2.736650,1.471151,3.609087
25,1548,0.597223,0.870218,1.118594
25,1548,0.647096,0.742584,1.155230
25,1548,0.634282,0.805741,1.008992
25,1548,0.760493,0.885454,0.960256
25,1548,0.582404,0.719011,0.971014
25,1548,2.437772,1.274473,0.941419
25,1548,0.594975,0.661872,0.875629
26,1551,0.864070,1.051094,1.254090
26,1535,2.074453,1.706540,1.575399
27,1581,0.759936,1.162042,1.080281
28,1605,0.845341,1.074639,1.553171
27,1547,1.008360,1.289963,1.571368
27,1547,0.850491,1.019387,1.682712
27,1547,0.671443,0.735884,0.737382
29,1654,4.838884,1.028177,1.326872
28,1592,1.062391,1.598857,1.533113
28,1592,0.895227,1.122774,2.252027
28,1592,0.630671,0.573232,0.757920
29,1638,1.811135,4.095884,1.423429
29,1623,0.820727,4.177550,1.741936
29,1611,1.002754,1.156918,0.976389
29,1611,2.224117,0.760961,0.979865
29,1634,0.614724,0.720727,1.217392
29,1629,1.049983,1.356439,2.100521
30,1670,0.858049,2.180106,1.349110
30,1670,1.848832,0.696183,0.945611
30,1670,2.248510,0.737813,1.012013
30,1657,0.650762,0.764138,0.966266
31,1686,0.889024,0.804885,0.966459
30,1645,0.752409,1.005163,1.302813
31,1686,0.625835,0.766229,1.495845
32,1703,1.110017,1.381343,1.930592
32,1696,0.904888,1.207686,1.206972
31,1655,0.702978,0.733689,1.337846
31,1655,0.789405,0.793494,1.046544
32,1682,1.712326,1.377818,1.452793
32,1676,1.071501,1.279461,1.563275
33,1717,0.655784,0.610477,0.947927
34,1772,0.987262,1.243550,1.623215
34,1767,0.770118,0.774923,0.849809
34,1766,0.990806,1.002043,1.079111
34,1768,0.973083,1.389565,1.944421
34,1768,0.829619,1.033297,2.423937
34,1768,1.037242,1.857599,1.311290
35,1809,0.785618,0.735073,0.786985
36,1840,0.783205,1.931733,0.981097
36,1840,0.763214,0.721963,1.220824
37,1962,2.808799,1.141173,2.438798
37,1962,1.314533,1.292325,2.697812
37,1962,0.928520,0.883775,1.212560
37,1962,0.941259,1.220702,2.178343
38,1986,1.742130,3.960476,1.300570
38,1986,1.364508,1.498508,1.429481
39,2014,1.138704,1.331292,1.933627
39,2012,0.798225,0.831159,1.530812
39,2012,0.786740,0.613386,1.082146
40,2089,1.021647,0.951878,1.200952
40,2072,2.479298,1.551690,1.262044
39,2031,0.990688,3.056069,1.086053
41,2108,1.443132,1.714028,1.646975
41,2096,1.352023,2.111906,1.549860
40,2054,1.545458,1.078738,1.850855
41,2125,1.150593,1.534947,1.851559
41,2115,2.292518,2.917046,2.254402
41,2115,1.414055,2.064326,1.767960
42,2166,1.111931,2.056492,3.308332
43,2195,1.233668,1.530157,1.733608
42,2154,0.820208,0.745491,1.007978
43,2197,0.916271,1.938314,1.460924
43,2191,1.376880,2.994676,1.673362
43,2191,0.961101,1.046594,1.019600
44,2273,1.107098,1.487336,1.986560
42,2263,1.406263,2.789882,2.639409
44,2263,0.874566,0.941115,1.352135
45,2345,0.873385,1.088195,1.601028
40,2300,0.895736,1.188144,1.476516
21,1070,0.542744,0.679794,1.355747
28,1919,1.783510,4.599922,2.269789
30,1931,0.946776,2.121451,1.961485
45,2336,0.845475,0.915228,1.330493
33,1981,1.278844,2.217140,1.384904
28,1985,1.001828,1.568770,1.649683
27,1974,2.245733,1.766655,1.626473
31,2090,0.661974,0.814644,1.037127
25,1226,1.527911,0.859062,1.516755
21,1139,0.788212,1.299017,1.983384
